State,Population,AreaInSqKm,DensityPerSqKm
A.& N.Islands,380581,8249,46
Andhra Pradesh,49576777,160205,303
Arunachal Pradesh,1383727,83743,50
Assam,31205576,78438,397
Bihar,104099452,94163,"1,102"
Chandigarh,1055450,114,156
Chhattisgarh,25545198,135191,189
Dadra & Nagar Haveli and Daman & Diu,586956,603,970
Delhi,16787941,3702,"11,297"
Goa,1458545,196024,394
Gujarat,60439692,44212,308
Haryana,25351462,55673,573
Himachal Pradesh,6864602,42241,123
Jammu & Kashmir,12258433,79714,57
Jharkhand,32988134,191791,414
Karnataka,61095297,38863,319
Kerala,33406061,59146,859
Ladakh,290492,32,20
Lakshadweep,64473,308252,25
Madhya Pradesh,72626809,307713,236
Maharashtra,112374333,22327,365
Manipur,2855794,22429,122
Meghalaya,2966889,21081,136
Mizoram,1097206,16579,132
Nagaland,1978502,1483,52
Odisha,41974218,155707,119
Puducherry,1247953,479,269
Punjab,27743338,50362,550
Rajasthan,68548437,342239,201
Sikkim,610577,7096,86
Tamil Nadu,72147030,130058,555
Telangana,35004000,112077,307
Tripura,3673917,10486,350
Uttar Pradesh,199812341,240928,828
Uttarakhand,10086292,53483,189
West Bengal,91276115,88752,"1,029"
